Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Area,Q5_Income,Q6_Language,Q7_Purchase_Frequency,Q8_Monthly_Spend,Q9_Channels,Q10_Channel_Reason,Q11_Brand_Loyalty,Q12_Switching_Triggers,Q13_Price_Premium,Q14_Product_Categories,Q15_Halal_Certified,Q15_Natural_Organic,Q15_Free_From_Chemicals,Q15_Dermatologist_Tested,Q15_Vegan_Cruelty_Free,Q15_Arabian_Heritage,Q16_Product_Format,Q17_Festival_Triggers,Q18_Gift_Purchases,Q19_Cultural_Values,Q20_Discovery_Methods,Q21_Influencer_Impact,Q22_AI_Tool_Interest,Q23_Discount_Type,Q24_Loyalty_Programme,Q25_Brand_Interest
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"20,001-35,000",Hindi / Urdu,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Convenience / delivery speed,Somewhat loyal,Recommendation from a friend or influencer,11-25% more,Body care; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Essential,Very Important,Essential,Very Important,Very Important,Very Important,Rich cream / butter-based; Spray / mist,Ramadan / Eid al-Fitr; Eid al-Adha; Diwali; None - consistent spending,Never,Heritage and tradition; Social image and status,Instagram; Friends / family,Slightly,Probably,"Percentage discount (e.g., 20% off)",Very likely,Neutral
55+,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"5,000-10,000",Hindi / Urdu,Rarely / Only when needed,101-200,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps; Baqala / convenience stores",Ability to test / try before buying,Somewhat loyal,Halal / clean / organic certification; Personalised products,More than 50% more,Body care; Men's grooming; Oral care,Essential,Somewhat Important,Very Important,Essential,Not Important,Somewhat Important,Rich cream / butter-based; Multi-use / hybrid products,Eid al-Adha; Diwali,Never,Heritage and tradition; Scientific efficacy,In-store browsing; Google search / blogs,Slightly,Unsure,"Percentage discount (e.g., 20% off)",Unlikely,Neutral
35-44,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"10,001-20,000",English,Every 2-3 months,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Ability to test / try before buying,Somewhat loyal,Availability in my preferred store,26-50% more,Face skincare; Haircare; Personal hygiene,Not Important,Not Important,Essential,Very Important,Essential,Essential,Multi-use / hybrid products,Ramadan / Eid al-Fitr; Eid al-Adha; Diwali,Never,Religious compliance (halal); Health and wellness,Friends / family; YouTube; TikTok,Not at all,Probably,Free shipping,Neutral,Very interested
35-44,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Downtown / Business Bay / DIFC,"20,001-35,000",English,Monthly,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops",Best prices / discounts,Somewhat loyal,Superior ingredients / formulation,More than 50% more,Face skincare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Very Important,Very Important,Essential,Somewhat Important,Essential,Essential,Rich cream / butter-based; Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS); None - consistent spending,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),Instagram,Not at all,No,"Percentage discount (e.g., 20% off)",Likely,Neutral
18-24,Female,Emirati,Dubai Marina / JBR / JLT,"35,001-50,000",English,Every 2-3 months,Above 700,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Low loyalty,Attractive packaging / brand story,26-50% more,Body care; Fragrance / perfume / oud; Personal hygiene,Essential,Very Important,Somewhat Important,Very Important,Essential,Essential,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS); Wedding season / family events,Never,Health and wellness; Social image and status,Celebrity endorsements; TikTok; Google search / blogs,Moderately,Probably,Buy-one-get-one-free (BOGO),Very likely,Very interested
18-24,Male,"East Asian (Chinese, Korean, Japanese)",Dubai Marina / JBR / JLT,"35,001-50,000",Mandarin / Other Asian language,Rarely / Only when needed,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC); Baqala / convenience stores",Widest product range,Somewhat loyal,Halal / clean / organic certification,11-25% more,Face skincare; Personal hygiene,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Rich cream / butter-based,Dubai Shopping Festival (DSF / DSS); Valentine's Day / Mother's Day; Wedding season / family events,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Scientific efficacy,Instagram; Celebrity endorsements,Moderately,No,Free sample / trial size,Likely,Very interested
18-24,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,Prefer not to say,Hindi / Urdu,Every 2 weeks,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC)",Loyalty rewards / cashback,Somewhat loyal,Attractive packaging / brand story,More than 50% more,Body care; Colour cosmetics / makeup; Personal hygiene,Very Important,Essential,Very Important,Very Important,Very Important,Very Important,Lightweight gel / water-based,Wedding season / family events,Rarely (once a year or less),Religious compliance (halal); Scientific efficacy,Instagram; Google search / blogs,Moderately,No,Bundle deal,Likely,Neutral
45-54,Female,Filipino,Deira / Bur Dubai / Al Karama,"5,000-10,000",English,Every 2 weeks,201-400,"Online marketplaces (Amazon.ae, Noon); Hypermarkets (Carrefour, Lulu, Spinneys); Brand websites / D2C apps",Convenience / delivery speed,Very loyal,Attractive packaging / brand story,11-25% more,Face skincare; Personal hygiene,Essential,Not Important,Not Important,Very Important,Very Important,Very Important,Rich cream / butter-based,Christmas / New Year; Dubai Shopping Festival (DSF / DSS); None - consistent spending,Rarely (once a year or less),Heritage and tradition; Environmental sustainability,In-store browsing,Not at all,No,Free shipping,Neutral,Not very interested
35-44,Male,"Western Expat (European, American, Australian)",Deira / Bur Dubai / Al Karama,"35,001-50,000",English,Monthly,201-400,"Duty-free shops; Brand websites / D2C apps; Hypermarkets (Carrefour, Lulu, Spinneys)",Best prices / discounts,Low loyalty,Personalised products; Lower price / better value,26-50% more,Face skincare; Haircare; Men's grooming; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Very Important,Very Important,Somewhat Important,Essential,Somewhat Important,Sheet masks / single-use treatments,None - consistent spending,"Yes, frequently (5+ times/year)",Religious compliance (halal),Instagram; YouTube; Celebrity endorsements,Not at all,No,Buy-one-get-one-free (BOGO),Likely,Interested
35-44,Male,"Western Expat (European, American, Australian)",Dubai Marina / JBR / JLT,"20,001-35,000",Other,Every 2-3 months,101-200,"Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Neutral,Attractive packaging / brand story; Halal / clean / organic certification,More than 50% more,Haircare; Fragrance / perfume / oud; Colour cosmetics / makeup,Somewhat Important,Somewhat Important,Not Important,Very Important,Essential,Somewhat Important,Serum / oil-based concentrate; Spray / mist,None - consistent spending,Rarely (once a year or less),Scientific efficacy; Environmental sustainability,Instagram; YouTube,Slightly,Probably,"Percentage discount (e.g., 20% off)",Very unlikely,Not very interested
